,source,title,author,date,meter
0,CatholicVote,Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”, Tom Kertscher ," September 1, 2022",barely-true
1,Herschel Walker,"Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”", Tori Gantz ," September 1, 2022",half-true
2,Cheri Beasley,"“Sixty-four members of Congress – Republicans and Democrats – have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”", Paul Specht ," September 1, 2022",half-true
3,Social Media,"In New York, you need to show identification to buy whipped cream, but not to vote.", Jill Terreri Ramos ," September 1, 2022",barely-true
4,Instagram posts,"""Water-fueled car can travel from LA to NY on 22 gallons.""", Michael Majchrowicz ," August 31, 2022",false
5,Adam Laxalt,"The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”", Maria Ramirez Uribe ," August 31, 2022",false
6,Facebook posts,"""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""", Jeff Cercone ," August 31, 2022",false
7,Facebook posts,"The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.", Luiz Romero ," August 31, 2022",false
8,Facebook posts,"Fox News sought the legal ""right to tell lies.""", Yacob Reyes ," August 31, 2022",false
9,Facebook posts,“The Earth just started spinning faster than ever before and scientists are gravely concerned.”, Kristin Hugo ," August 31, 2022",half-true
10,Facebook posts,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”., Maria Ramirez Uribe ," August 31, 2022",false
11,Instagram posts,The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women., Sara Swann ," August 31, 2022",false
12,American Action Network,"Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""", Tom Kertscher ," August 31, 2022",barely-true
13,Facebook posts,An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term., Louis Jacobson ," August 31, 2022",false
14,Facebook posts,Joe Biden threatened to assassinate Ukraine’s former president., Ciara O'Rourke ," August 31, 2022",pants-fire
15,Instagram posts,“Starbucks just announced that they’re going cashless.”, Ciara O'Rourke ," August 31, 2022",false
16,Charlie Kirk,“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”, Madison Czopek ," August 31, 2022",half-true
17,Joni Ernst,"“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”", Lyle Muller ," August 30, 2022",half-true
18,Facebook posts,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin", Michael Majchrowicz ," August 30, 2022",pants-fire
19,Facebook posts,The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11., Madison Czopek ," August 30, 2022",pants-fire
20,Facebook posts,"The National Guard was activated Jan. 6, 2021, and “is in complete control.”", Michael Majchrowicz ," August 30, 2022",pants-fire
21,Mark Finchem,"“In Arizona, we have flood the zone with fake ballots.”", Amy Sherman ," August 30, 2022",pants-fire
22,Facebook posts,Student debt relief is taxable by the Internal Revenue Service., Jeff Cercone ," August 30, 2022",false
23,Instagram posts,"Instagram’s ""precise location"" feature can be used by criminals to target victims.", Gabrielle Settles ," August 30, 2022",false
24,Instagram posts,Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started., Sara Swann ," August 30, 2022",false
25,Instagram posts,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""", Andy Nguyen ," August 30, 2022",true
26,Deidre DeJear,“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes., Lyle Muller ," August 29, 2022",barely-true
27,Facebook posts,"Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.", Yacob Reyes ," August 29, 2022",half-true
28,Viral image,“Nearly half of pregnant women in Pfizer trial miscarried.”, Ciara O'Rourke ," August 29, 2022",false
29,Facebook posts,The Supreme Court will put Donald Trump back in office in October, Amy Sherman ," August 29, 2022",pants-fire
30,National Republican Senatorial Committee,Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”, Vanessa Swales ," August 29, 2022",barely-true
31,Facebook posts,"Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.", Madison Czopek ," August 26, 2022",false
32,Viral image,"""If your body's pH is alkaline, you cannot get cancer. And if you have cancer, it goes away.""", Ciara O'Rourke ," August 26, 2022",false
